2016-09-30 13:51:59,350 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 13:51:59,350 | INFO  | Recovery replayed 2 operations from the journal in 0.078 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 13:51:59,366 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 13:51:59,366 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 13:51:59,584 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 13:51:59,584 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-30 13:51:59,584 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-50190-1475223719381-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 13:51:59,631 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 13:51:59,740 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 13:51:59,802 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 13:51:59,912 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 13:51:59,927 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 13:51:59,974 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 13:51:59,990 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 14:06:44,284 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1ebcae2: startup date [Fri Sep 30 14:06:44 IST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-09-30 14:06:46,361 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2016-09-30 14:06:46,376 | INFO  | PListStore:D:\Softwares\apache-activemq-5.5.1\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2016-09-30 14:06:46,424 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Softwares\apache-activemq-5.5.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-09-30 14:06:47,268 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 14:06:47,568 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 14:06:47,569 | INFO  | Recovery replayed 2 operations from the journal in 0.291 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-09-30 14:06:47,626 | INFO  | ActiveMQ 5.5.1 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2016-09-30 14:06:47,626 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2016-09-30 14:06:47,918 | INFO  | Listening for connections at: tcp://PC308393:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-09-30 14:06:47,919 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2016-09-30 14:06:47,933 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:PC308393-50433-1475224607701-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-09-30 14:06:48,080 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2016-09-30 14:06:48,595 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2016-09-30 14:06:48,766 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-09-30 14:06:49,094 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2016-09-30 14:06:49,141 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2016-09-30 14:06:49,172 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2016-09-30 14:06:49,312 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2016-09-30 14:08:16,372 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:50436
